Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,
football-player,test Football Player suff,,Forum Novelties Inc,Costumes,"small, costumes, football, player, sm, ",TRUE,Size,Small,,,,,,,shopify,,deny,manual,22.49,29.99,True,TRUE,721773705953,,,,,,,,,,,,,,,,,,,,,,
football-player,,,,,,TRUE,,Medium,,,,,,,shopify,,deny,manual,22.49,29.99,True,TRUE,721773705960,,,,,,,,,,,,,,,,,,,,,,
mummy,test Mummy suff,,Forum Novelties Inc,Costumes,"medium, costumes, mummy, med, ",TRUE,Size,Medium,,,,,,,shopify,,deny,manual,22.49,29.99,True,TRUE,721773706011,,,,,,,,,,,,,,,,,,,,,,
mummy,,,,,,TRUE,,Large,,,,,,,shopify,,deny,manual,22.49,29.99,True,TRUE,721773706028,,,,,,,,,,,,,,,,,,,,,,
bone-suit,test Bone Suit suff,,Forum Novelties Inc,Costumes,"medium, costumes, bone, suit, med, ",TRUE,Size,Medium,,,,,,,shopify,,deny,manual,29.99,39.99,True,TRUE,721773709296,,,,,,,,,,,,,,,,,,,,,,
bone-suit,,,,,,TRUE,,Large,,,,,,,shopify,,deny,manual,29.99,39.99,True,TRUE,721773709302,,,,,,,,,,,,,,,,,,,,,,
headless-boy-teen,test Headless Boy Teen suff,,Forum Novelties Inc,Costumes,"teen, costumes, headless, boy, teen, ",TRUE,Size,Teen,,,,,,,shopify,,deny,manual,22.49,29.99,True,TRUE,721773722301,,,,,,,,,,,,,,,,,,,,,,
headless-boy,,,,,,TRUE,,Headless Boy,,,,,,,shopify,,deny,manual,22.49,29.99,True,TRUE,721773681028,,,,,,,,,,,,,,,,,,,,,,
delta-force,test Delta Force suff,,Fun World,Costumes,"large, costumes, delta, force, lg, ",TRUE,Size,Large,,,,,,,shopify,,deny,manual,41.24,54.99,True,TRUE,788677082085,,,,,,,,,,,,,,,,,,,,,,
delta-force,,,,,,TRUE,,Medium,,,,,,,shopify,,deny,manual,41.24,54.99,True,TRUE,788677063589,,,,,,,,,,,,,,,,,,,,,,
