Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,
brave-crusader-ch,,,,,,TRUE,,Lg,,,,,,,,,,,26.24,34.99,TRUE,TRUE,809801723763,,,,,,,,,,,,,,,,,,,,,,
grey-werewolf,Grey Werewolf,,Fun World,Costumes,"grey, werewolf, medium, medium, costumes, ",TRUE,Size,Med,,,,,,,,,,,33.74,44.99,TRUE,TRUE,23168158130,,,,,,,,,,,,,,,,,,,,,,
grey-werewolf,,,,,,TRUE,,Lg,,,,,,,,,,,33.74,44.99,TRUE,TRUE,23168258137,,,,,,,,,,,,,,,,,,,,,,
brown-werewolf,Brown Werewolf,,Fun World,Costumes,"brown, werewolf, med, medium, costumes, ",TRUE,Size,Med,,,,,,,,,,,33.74,44.99,TRUE,TRUE,23168128133,,,,,,,,,,,,,,,,,,,,,,
brown-werewolf,,,,,,TRUE,,Lg,,,,,,,,,,,33.74,44.99,TRUE,TRUE,23168228130,,,,,,,,,,,,,,,,,,,,,,
werewolf,Werewolf,,Fun World,Costumes,"black, werewolf, med, medium, costumes, ",TRUE,Size,Med,Color,BLACK,,,,,,,,,33.74,44.99,TRUE,TRUE,23168558138,,,,,,,,,,,,,,,,,,,,,,
uncle-sam,Uncle Sam,,Forum Novelties Inc,Costumes,"uncle, sam, sm, sm, costumes, ",TRUE,Size,Sm,,,,,,,,,,,11.24,14.99,TRUE,TRUE,400000505626,,,,,,,,,,,,,,,,,,,,,,
lab-coat-child,Lab Coat Child,,Fun World,Costumes,"lab, coat, child, child, costumes, ",TRUE,Size,Child,,,,,,,,,,,14.99,19.99,TRUE,TRUE,23168058492,,,,,,,,,,,,,,,,,,,,,,
grave-reaper-child,Grave Reaper Child,,Fun World,Costumes,"grave, reaper, child, child, costumes, ",TRUE,Size,Child,,,,,,,,,,,14.99,19.99,TRUE,TRUE,23168087348,,,,,,,,,,,,,,,,,,,,,,
football-player,Football Player,,Forum Novelties Inc,Costumes,"football, player, sm, small, costumes, ",TRUE,Size,Sm,,,,,,,,,,,22.49,29.99,TRUE,TRUE,721773705953,,,,,,,,,,,,,,,,,,,,,,
football-player,,,,,,TRUE,,Med,,,,,,,,,,,22.49,29.99,TRUE,TRUE,721773705960,,,,,,,,,,,,,,,,,,,,,,
mummy,Mummy,,Forum Novelties Inc,Costumes,"mummy, med, medium, costumes, ",TRUE,Size,Med,,,,,,,,,,,22.49,29.99,TRUE,TRUE,721773706011,,,,,,,,,,,,,,,,,,,,,,
mummy,,,,,,TRUE,,Lg,,,,,,,,,,,22.49,29.99,TRUE,TRUE,721773706028,,,,,,,,,,,,,,,,,,,,,,
bone-suit,Bone Suit,,Forum Novelties Inc,Costumes,"bone, suit, med, medium, costumes, ",TRUE,Size,Med,,,,,,,,,,,29.99,39.99,TRUE,TRUE,721773709296,,,,,,,,,,,,,,,,,,,,,,
bone-suit,,,,,,TRUE,,Lg,,,,,,,,,,,29.99,39.99,TRUE,TRUE,721773709302,,,,,,,,,,,,,,,,,,,,,,
headless-boy-teen,Headless Boy Teen,,Forum Novelties Inc,Costumes,"headless, boy, teen, teen, costumes, ",TRUE,Size,Teen,,,,,,,,,,,22.49,29.99,TRUE,TRUE,721773722301,,,,,,,,,,,,,,,,,,,,,,
headless-boy,,,,,,TRUE,,Headless Boy,,,,,,,,,,,22.49,29.99,TRUE,TRUE,721773681028,,,,,,,,,,,,,,,,,,,,,,
delta-force,Delta Force,,Fun World,Costumes,"delta, force, lg, large, costumes, ",TRUE,Size,Lg,,,,,,,,,,,41.24,54.99,TRUE,TRUE,788677082085,,,,,,,,,,,,,,,,,,,,,,
delta-force,,,,,,TRUE,,Med,,,,,,,,,,,41.24,54.99,TRUE,TRUE,788677063589,,,,,,,,,,,,,,,,,,,,,,
delta-force,,,,,,TRUE,,Sm,,,,,,,,,,,41.24,54.99,TRUE,TRUE,788677056628,,,,,,,,,,,,,,,,,,,,,,
