Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,
donatello,,,,,,,,Extra Large,,,,,,,shopify,0,deny,manual,29.99,59.99,True,,883028044283,,,,,,,,,,,,,,,,,,,,,,
dotted-clown-adult,Man's Dotted Clown Adult Costume,,Rubie's Costume Co.,Costumes,"dotted, clown, adult, costumes, ",,,Std,,,,,,,shopify,1,deny,manual,14.9925,19.99,True,,82686550529,,,,,,,,,,,,,,,,,,,,,,
dr-kill-joy-adult,Man's Dr Kill Joy Adult Costume,,Fun World,Costumes,"dr, kill, joy, adult, costumes, ",,,Std,,,,,,,shopify,4,deny,manual,22.4925,29.99,True,,23168011244,,,,,,,,,,,,,,,,,,,,,,
dr-seymour-bush-gyno-adult,Man's Dr Seymour Bush Gyno Adult Costume,,Rasta Imposta,Costumes,"dr, seymour, bush, gyno, adult, costumes, ",,Size,Medium,,,,,,,shopify,0,deny,manual,14.9925,19.99,True,,791249013141,,,,,,,,,,,,,,,,,,,,,,
dr.-ben-dover-adult,Man's Dr. Ben Dover Adult Costume,,Forum Novelties Inc,Costumes,"dr., ben, dover, adult, costumes, ",,,Std,,,,,,,shopify,0,deny,manual,22.4925,29.99,True,,721773565236,,,,,,,,,,,,,,,,,,,,,,
dr.-lab-coat-std,Man's Dr. Lab Coat Std Costume,,Forum Novelties Inc,Costumes,"dr., lab, coat, std, costumes, ",,,Std,,,,,,,shopify,8,deny,manual,18.74,24.99,True,,721773603860,,,,,,,,,,,,,,,,,,,,,,
emoji-smile-sandwich-std,Man's Emoji Smile Sandwich Std Costume,,Disguise Inc.,Costumes,"emoji, smile, sandwich, std, costumes, ",,Size,Small,,,,,,,shopify,2,deny,manual,19.99,36.99,True,,39897853260,,,,,,,,,,,,,,,,,,,,,,
emoji-wink-std,,,,,,,,Medium,,,,,,,shopify,2,deny,manual,19.99,36.99,True,,39897853253,,,,,,,,,,,,,,,,,,,,,,
emperor-of-evil-adult,Man's Emperor Of Evil Adult Costume,,Fun World,Costumes,"emperor, of, evil, adult, costumes, ",,Size,Medium,,,,,,,shopify,0,deny,manual,29.9925,39.99,True,,23168057280,,,,,,,,,,,,,,,,,,,,,,
evil-clown-shirt,Man's Evil Clown Shirt Costume,,Amscan,Costumes,"evil, clown, shirt, costumes, ",,,Shirt,,,,,,,shopify,0,deny,manual,18.7425,24.99,True,,809801717571,,,,,,,,,,,,,,,,,,,,,,
fatty-fart-l-cus-adult,Man's Fatty Fart-L-Cus Adult Costume,,Fun World,Costumes,"fatty, fart-l-cus, adult, costumes, ",,,Std,,,,,,,shopify,0,deny,manual,20.9925,27.99,True,,71765028820,,,,,,,,,,,,,,,,,,,,,,
floating-ghost-std-adult,Man's Floating Ghost Std Adult Costume,,Forum Novelties Inc,Costumes,"floating, ghost, std, adult, costumes, ",,,Std,,,,,,,shopify,0,deny,manual,35.2425,46.99,True,,721773701962,,,,,,,,,,,,,,,,,,,,,,
floating-ghost-adult,,,,,,,,Extra Large,,,,,,,shopify,0,deny,manual,35.2425,46.99,True,,721773701979,,,,,,,,,,,,,,,,,,,,,,
frankenstein-adult,Man's Frankenstein Adult Costume,,Rubie's Costume Co.,Costumes,"frankenstein, adult, costumes, ",,,Std,,,,,,,shopify,2,deny,manual,41.2425,54.99,True,,82686150712,,,,,,,,,,,,,,,,,,,,,,
freddy-sweater-adult,Man's Freddy Sweater Adult Costume,,Rubie's Costume Co.,Costumes,"freddy, sweater, adult, costumes, ",,,Std,Color,RED,,,,,shopify,4,deny,manual,22.4925,29.99,True,,82686560450,,,,,,,,,,,,,,,,,,,,,,
french-fries-adult,Man's French Fries Adult Costume,,Rasta Imposta,Costumes,"french, fries, adult, costumes, ",,,Std,,,,,,,shopify,0,deny,manual,29.9925,39.99,True,,791249708306,,,,,,,,,,,,,,,,,,,,,,
friar-adult,Man's Friar Adult Costume,,Amscan,Costumes,"friar, adult, costumes, ",,,Friar,,,,,,,shopify,0,deny,manual,29.9925,39.99,True,,809801702775,,,,,,,,,,,,,,,,,,,,,,
full-cut-robe-adult,Man's Full Cut Robe Adult Costume,,Rubie's Costume Co.,Costumes,"full, cut, robe, adult, costumes, ",,,Std,,,,,,,shopify,1,deny,manual,29.9925,39.99,True,,82686173155,,,,,,,,,,,,,,,,,,,,,,
fun-dip-package,Man's Fun Dip Package Costume,,Rasta Imposta,Costumes,"fun, dip, package, costumes, ",,,Std,,,,,,,shopify,0,deny,manual,32.2425,42.99,True,,791249398507,,,,,,,,,,,,,,,,,,,,,,
gangster-man-adult,Man's Gangster Man Adult Costume,,Rubie's Costume Co.,Costumes,"gangster, man, adult, costumes, ",,Size,Medium,,,,,,,shopify,1,deny,manual,29.9925,39.99,True,,82686154994,,,,,,,,,,,,,,,,,,,,,,
ganster-man,Man's Ganster Man Costume,,Rubie's Costume Co.,Costumes,"ganster, man, xl, costumes, ",,Size,Medium,,,,,,,shopify,0,deny,manual,29.9925,39.99,True,,400000947051,,,,,,,,,,,,,,,,,,,,,,
gauze-zombie-std,Man's Gauze Zombie Std Costume,,Fun World,Costumes,"gauze, zombie, std, costumes, ",,Size,Medium,,,,,,,shopify,0,deny,manual,29.9925,39.99,True,,23168054265,,,,,,,,,,,,,,,,,,,,,,
ghost-face-adult,Man's Ghost Face Adult Costume,,Fun World,Costumes,"ghost, face, adult, costumes, ",,,Std,,,,,,,shopify,5,deny,manual,29.9925,39.99,True,,23168099747,,,,,,,,,,,,,,,,,,,,,,
ghostbusters-adult,Man's Ghostbusters Adult Costume,,Rubie's Costume Co.,Costumes,"ghostbusters, adult, costumes, ",,,Std,,,,,,,shopify,0,deny,manual,37.4925,49.99,True,,82686165297,,,,,,,,,,,,,,,,,,,,,,
gillian-adult,Man's Gillian Adult Costume,,Fun World,Costumes,"gillian, adult, costumes, ",,,Std,,,,,,,shopify,0,deny,manual,37.4925,49.99,True,,788677044748,,,,,,,,,,,,,,,,,,,,,,
goin'-bananas-adult-std,Man's Goin' Bananas Adult Std Costume,,Amscan,Costumes,"goin', bananas, adult, std, costumes, ",,,Std,,,,,,,shopify,4,deny,manual,26.24,34.99,True,,809801745451,,,,,,,,,,,,,,,,,,,,,,
gorilla-adult,Man's Gorilla Adult Costume,,Rubie's Costume Co.,Costumes,"gorilla, adult, costumes, ",,,Std,,,,,,,shopify,2,deny,manual,74.9925,99.99,True,,82686016223,,,,,,,,,,,,,,,,,,,,,,
granny-wolf,Man's Granny Wolf Costume,,Forum Novelties Inc,Costumes,"granny, wolf, costumes, ",,,Std,,,,,,,shopify,1,deny,manual,37.4925,49.99,True,,721773602863,,,,,,,,,,,,,,,,,,,,,,
gun-slinger-std,Man's Gun Slinger Std Costume,,Rubie's Costume Co.,Costumes,"gun, slinger, std, costumes, ",,,Std,,,,,,,shopify,1,deny,manual,35.24,46.99,True,,91346493793,,,,,,,,,,,,,,,,,,,,,,
gun-slinger,,,,,,,,Extra Large,,,,,,,shopify,1,deny,manual,35.24,46.99,True,,91346937945,,,,,,,,,,,,,,,,,,,,,,
headless-horseman,Man's Headless Horseman Costume,,Forum Novelties Inc,Costumes,"headless, horseman, costumes, ",,Size,Medium,,,,,,,shopify,2,deny,manual,59.9925,79.99,True,,721773594762,,,,,,,,,,,,,,,,,,,,,,
headless-man,,,,,,,,Medium,,,,,,,shopify,2,deny,manual,29.9925,39.99,True,,721773619700,,,,,,,,,,,,,,,,,,,,,,
hind-sight-adult,Man's Hind Sight Adult Costume,,Forum Novelties Inc,Costumes,"hind, sight, adult, costumes, ",,,Std,,,,,,,shopify,0,deny,manual,14.9925,19.99,True,,721773524455,,,,,,,,,,,,,,,,,,,,,,
holy-hammered-adult,Man's Holy Hammered Adult Costume,,Fun World,Costumes,"holy, hammered, adult, costumes, ",,Size,Medium,Color,RED,,,,,shopify,0,deny,manual,26.2425,34.99,True,,23168054043,,,,,,,,,,,,,,,,,,,,,,
homie-boy-adult,Man's Homie Boy Adult Costume,,Forum Novelties Inc,Costumes,"homie, boy, adult, costumes, ",,Size,Medium,,,,,,,shopify,0,deny,manual,29.9925,39.99,True,,721773643743,,,,,,,,,,,,,,,,,,,,,,
horror-robe,Man's Horror Robe Costume,,Rubie's Costume Co.,Costumes,"horror, robe, costumes, ",,,Std,,,,,,,shopify,0,deny,manual,14.9925,19.99,True,,82686550161,,,,,,,,,,,,,,,,,,,,,,
hot-dog-adult,Man's Hot Dog Adult Costume,,Rasta Imposta,Costumes,"hot, dog, adult, costumes, ",,,Std,,,,,,,shopify,0,deny,manual,29.9925,39.99,True,,791249003043,,,,,,,,,,,,,,,,,,,,,,
howling-ghost-adult,Man's Howling Ghost Adult Costume,,Rubie's Costume Co.,Costumes,"howling, ghost, adult, costumes, ",,,Std,,,,,,,shopify,2,deny,manual,18.7425,24.99,True,,82686159579,,,,,,,,,,,,,,,,,,,,,,
hulk-muscle-adult-st,Man's Hulk Muscle Adult St Costume,,Rubie's Costume Co.,Costumes,"hulk, muscle, adult, st, costumes, ",,Size,Medium,,,,,,,shopify,1,deny,manual,41.24,54.99,True,,883028045747,,,,,,,,,,,,,,,,,,,,,,
hulk-muscle-adult,,,,,,,,Medium,,,,,,,shopify,1,deny,manual,41.24,54.99,True,,883028045792,,,,,,,,,,,,,,,,,,,,,,
indiana-jones-std,Man's Indiana Jones Std Costume,,Rubie's Costume Co.,Costumes,"indiana, jones, dlx, std, costumes, ",,,Std,,,,,,,shopify,1,deny,manual,37.4925,49.99,True,,883028867400,,,,,,,,,,,,,,,,,,,,,,
inflatable-sumo,Man's Inflatable Sumo Costume,,Rubie's Costume Co.,Costumes,"inflatable, sumo, costumes, ",,Size,Medium,,,,,,,shopify,0,deny,manual,29.9925,39.99,True,,82686731225,,,,,,,,,,,,,,,,,,,,,,
inmate,Man's Inmate Costume,,Amscan,Costumes,"inmate, costumes, ",,Size,Medium,,,,,,,shopify,0,deny,manual,20.9925,27.99,True,,809801702706,,,,,,,,,,,,,,,,,,,,,,
iron-man,Man's Iron Man Costume,,Rubie's Costume Co.,Costumes,"iron, man, xl, costumes, ",,Size,Medium,,,,,,,shopify,2,deny,manual,47.24,62.99,True,,883028046256,,,,,,,,,,,,,,,,,,,,,,
jack-skellington-adult,Man's Jack Skellington Adult Costume,,Disguise Inc.,Costumes,"jack, skellington, adult, costumes, ",,,Std,,,,,,,shopify,2,deny,manual,44.9925,59.99,True,,32692576198,,,,,,,,,,,,,,,,,,,,,,
jack-sparrow-adult,,,,,,,,Std,,,,,,,shopify,0,deny,manual,67.4925,89.99,True,,32692503590,,,,,,,,,,,,,,,,,,,,,,
jack-sparrow,,,,,,,,Extra Large,,,,,,,shopify,2,deny,manual,41.2425,54.99,True,,32692510192,,,,,,,,,,,,,,,,,,,,,,
