Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,
delta-force,,,,,,,,Medium,,,,,,,shopify,0,deny,manual,41.24,54.99,True,,788677063589,,,,,,,,,,,,,,,,,,,,,,
delta-force,,,,,,,,Small,,,,,,,shopify,0,deny,manual,41.24,54.99,True,,788677056628,,,,,,,,,,,,,,,,,,,,,,
michelangelo-movie,Boys Michelangelo Movie Costume,,Rubie's Costume Co.,Costumes,"costumes, michelangelo, dlx, sm, movie, ",,Size,Small,,,,,,,shopify,0,deny,manual,29.99,39.99,True,,883028897551,,,,,,,,,,,,,,,,,,,,,,
howling-ghost,Boys Howling Ghost Costume,,Rubie's Costume Co.,Costumes,"costumes, howling, ghost, med, ",,Size,Medium,,,,,,,shopify,1,deny,manual,12.74,16.99,True,,883028102167,,,,,,,,,,,,,,,,,,,,,,
royal-vampire,Boys Royal Vampire Costume,,Rubie's Costume Co.,Costumes,"costumes, royal, vampire, med, ",,Size,Medium,,,,,,,shopify,2,deny,manual,24.74,32.99,True,,883028391769,,,,,,,,,,,,,,,,,,,,,,
michelangelo-movie,,,,,,,,Medium,,,,,,,shopify,1,deny,manual,29.99,39.99,True,,883028897568,,,,,,,,,,,,,,,,,,,,,,
howling-ghost,,,,,,,,Large,,,,,,,shopify,1,deny,manual,12.74,16.99,True,,883028102174,,,,,,,,,,,,,,,,,,,,,,
royal-vampire,,,,,,,,Large,,,,,,,shopify,2,deny,manual,24.74,32.99,True,,883028391776,,,,,,,,,,,,,,,,,,,,,,
michelangelo-movie,,,,,,,,Large,,,,,,,shopify,0,deny,manual,29.99,39.99,True,,883028897575,,,,,,,,,,,,,,,,,,,,,,
cool-ghoul,Boys Cool Ghoul Costume,,Rubie's Costume Co.,Costumes,"costumes, cool, ghoul, sm, ",,Size,Small,,,,,,,shopify,1,deny,manual,12.74,16.99,True,,883028103652,,,,,,,,,,,,,,,,,,,,,,
anakin-skywalker,Boys Anakin Skywalker Costume,,Rubie's Costume Co.,Costumes,"costumes, anakin, skywalker, sm, ",,Size,Small,,,,,,,shopify,2,deny,manual,22.49,29.99,True,,883028201259,,,,,,,,,,,,,,,,,,,,,,
evil-minion-foam,Boys Evil Minion Foam Costume,,Rubie's Costume Co.,Costumes,"costumes, evil, minion, foam, sm, ",,Size,Small,,,,,,,shopify,1,deny,manual,22.49,29.99,True,,883028731756,,,,,,,,,,,,,,,,,,,,,,
cool-ghoul,,,,,,,,Large,,,,,,,shopify,1,deny,manual,12.74,16.99,True,,883028103676,,,,,,,,,,,,,,,,,,,,,,
anakin-skywalker,,,,,,,,Medium,,,,,,,shopify,1,deny,manual,22.49,29.99,True,,883028201266,,,,,,,,,,,,,,,,,,,,,,
minion-dave-foam,Boys Minion Dave Foam Costume,,Rubie's Costume Co.,Costumes,"costumes, minion, dave, foam, sm, ",,Size,Small,,,,,,,shopify,2,deny,manual,22.49,29.99,True,,883028644452,,,,,,,,,,,,,,,,,,,,,,
evil-minion-foam,,,,,,,,Medium,,,,,,,shopify,1,deny,manual,22.49,29.99,True,,883028731763,,,,,,,,,,,,,,,,,,,,,,
pirate-king,Boys Pirate King Costume,,Rubie's Costume Co.,Costumes,"costumes, pirate, king, sm, ",,Size,Small,,,,,,,shopify,2,deny,manual,12.74,16.99,True,,883028104055,,,,,,,,,,,,,,,,,,,,,,
anakin-skywalker,,,,,,,,Large,,,,,,,shopify,0,deny,manual,22.49,29.99,True,,883028201273,,,,,,,,,,,,,,,,,,,,,,
swat-police,Boys Swat Police Costume,,Rubie's Costume Co.,Costumes,"costumes, swat, police, med, ",,Size,Medium,,,,,,,shopify,0,deny,manual,26.24,34.99,True,,883028281367,,,,,,,,,,,,,,,,,,,,,,
ghostbusters,Boys Ghostbusters Costume,,Rubie's Costume Co.,Costumes,"costumes, ghostbusters, lg, ",,Size,Large,,,,,,,shopify,1,deny,manual,29.99,39.99,True,,883028432073,,,,,,,,,,,,,,,,,,,,,,
