item-description,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,shopify,Variant Inventory Qty,deny,manual,Variant Price,Variant Compare At Price,True,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,
lighting-mcqueen-tt,Baby Lighting Mcqueen TT Costume,,Disguise Inc.,Costumes,"costumes, lighting, mcqueen, 3t-4t, ",,Size,Medium,,,,,,,shopify,,deny,manual,20.9925,27.99,True,,32692639350,,,,,,,,,,,,,,,,,,,,,,
precious-panda-t,Baby Precious Panda T Costume,,Leg Avenue Inc.,Costumes,"costumes, precious, panda, 3-4t, ",,,T,,,,,,,shopify,,deny,manual,20.9925,27.99,True,,714718465234,,,,,,,,,,,,,,,,,,,,,,
lady-bug-infant,Baby Lady Bug Infant Costume,,Fun World,Costumes,"costumes, lady, bug, infant, ",,,Infant,,,,,,,shopify,,deny,manual,18.7425,24.99,True,,23168096500,,,,,,,,,,,,,,,,,,,,,,
tinkerbell,,,,,,,,,,,,,,,shopify,,deny,manual,20.9925,27.99,True,,32692596554,,,,,,,,,,,,,,,,,,,,,,
train-engineer,,,,,,,,,,,,,,,shopify,,deny,manual,18.7425,24.99,True,,788677088872,,,,,,,,,,,,,,,,,,,,,,
giggling-elmo-t,Baby Giggling Elmo T Costume,,Disguise Inc.,Costumes,"costumes, giggling, elmo, 2t, ",,Size,Medium,,,,,,,shopify,,deny,manual,37.4925,49.99,True,,32692659242,,,,,,,,,,,,,,,,,,,,,,
little-dragon-t,,,,,,,,T,,,,,,,shopify,,deny,manual,32.2425,42.99,True,,714718483764,,,,,,,,,,,,,,,,,,,,,,
sully-t,,,,,,,,Small,,,,,,,shopify,,deny,manual,24.7425,32.99,True,,39897587653,,,,,,,,,,,,,,,,,,,,,,
pumpkin-pie-m,,,,,,,,Medium,,,,,,,shopify,,deny,manual,14.9925,19.99,True,,23168096494,,,,,,,,,,,,,,,,,,,,,,
circus-clown-xs,Baby Circus Clown Xs Costume,,Leg Avenue Inc.,Costumes,"costumes, circus, clown, xs, ",,,Xs,,,,,,,shopify,,deny,manual,29.9925,39.99,True,,714718438498,,,,,,,,,,,,,,,,,,,,,,
ballerina-bee,Baby Ballerina Bee  Costume,,Amscan,Costumes,"costumes, ballerina, bee, 3-4, ",,,,,,,,,,shopify,,deny,manual,22.4925,29.99,True,,809801722780,,,,,,,,,,,,,,,,,,,,,,
abby-cadabby-m,,,,,,,,M,,,,,,,shopify,,deny,manual,22.4925,29.99,True,,32692691419,,,,,,,,,,,,,,,,,,,,,,
lil'-sheriff-t,,,,,,,,T,,,,,,,shopify,,deny,manual,22.4925,29.99,True,,23168215642,,,,,,,,,,,,,,,,,,,,,,
mr-potato-head,Baby Mr Potato Head  Costume,,Disguise Inc.,Costumes,"costumes, mr, potato, head, 3-4, ",,Size,Medium,,,,,,,shopify,,deny,manual,29.9925,39.99,True,,39897168081,,,,,,,,,,,,,,,,,,,,,,
