Item Number,Item Name,Item Description,Brief Description,Attribute,Size,Regular Price,MSRP,UPC,Department Name,Vendor Name,Qty 1,Custom Field 1,,,,,,,
21496,GHOST FACE ADULT,GHOST FACE ADULT,,MEN,STD,29.9925,39.99,0023168099747,COSTUMES,FUN WORLD,5,9974,,,,,,,
18818,GHOSTBUSTERS ADULT,GHOSTBUSTERS ADULT,,MEN,STD,37.4925,49.99,0082686165297,COSTUMES,RUBIE'S COSTUME CO.,0,16529,,,,,,,
22243,GILLIAN ADULT,GILLIAN ADULT,,MEN,STD,37.4925,49.99,0788677044748,COSTUMES,FUN WORLD,0,101454,,,,,,,
22853,GOIN' BANANAS ADULT STD,GOIN' BANANAS ADULT STD,,MEN,STD,26.24,34.99,0809801745451,COSTUMES,AMSCAN,4,844277,,,,,,,
22140,GORILLA ADULT,GORILLA ADULT,,MEN,STD,74.9925,99.99,0082686016223,COSTUMES,RUBIE'S COSTUME CO.,2,1622,,,,,,,
19834,GRANNY WOLF,GRANNY WOLF,,MEN,STD,37.4925,49.99,0721773602863,COSTUMES,FORUM NOVELTIES INC,1,60286,,,,,,,
22362,GUN SLINGER STD,GUN SLINGER STD,,MEN,STD,35.24,46.99,0091346493793,COSTUMES,RUBIE'S COSTUME CO.,1,49379-ST,,,,,,,
22361,GUN SLINGER XL,GUN SLINGER XL,,MEN,STD,35.24,46.99,0091346937945,COSTUMES,RUBIE'S COSTUME CO.,1,49379-XL,,,,,,,
19833,HEADLESS HORSEMAN,HEADLESS HORSEMAN,,MEN,STD,59.9925,79.99,0721773594762,COSTUMES,FORUM NOVELTIES INC,2,59476,,,,,,,
19838,HEADLESS MAN,HEADLESS MAN,,MEN,HEADLESS MAN,29.9925,39.99,0721773619700,COSTUMES,FORUM NOVELTIES INC,2,61970,,,,,,,
20501,HIND SIGHT ADULT,HIND SIGHT ADULT,,MEN,STD,14.9925,19.99,0721773524455,COSTUMES,FORUM NOVELTIES INC,0,52445,,,,,,,
22245,HOLY HAMMERED ADULT,HOLY HAMMERED ADULT,,MEN,STD,26.2425,34.99,0023168054043,COSTUMES,FUN WORLD,0,5404,,,,,,,
22201,HOMIE BOY ADULT,HOMIE BOY ADULT,,MEN,STD,29.9925,39.99,0721773643743,COSTUMES,FORUM NOVELTIES INC,0,64374,,,,,,,
19024,HORROR ROBE,HORROR ROBE,,MEN,STD,14.9925,19.99,0082686550161,COSTUMES,RUBIE'S COSTUME CO.,0,55016,,,,,,,
22260,HOT DOG ADULT,HOT DOG ADULT,,MEN,STD,29.9925,39.99,0791249003043,COSTUMES,RASTA IMPOSTA,0,304,,,,,,,
18802,HOWLING GHOST ADULT,HOWLING GHOST ADULT,,MEN,STD,18.7425,24.99,0082686159579,COSTUMES,RUBIE'S COSTUME CO.,2,15957,,,,,,,
22325,HULK MUSCLE ADULT ST,HULK MUSCLE ADULT ST,,MEN,STD,41.24,54.99,0883028045747,COSTUMES,RUBIE'S COSTUME CO.,1,810290,,,,,,,
22330,HULK MUSCLE ADULT XL,HULK MUSCLE ADULT XL,,MEN,XL,41.24,54.99,0883028045792,COSTUMES,RUBIE'S COSTUME CO.,1,810290,,,,,,,
20209,INDIANA JONES DLX STD,INDIANA JONES DLX STD,,MEN,STD,37.4925,49.99,0883028867400,COSTUMES,RUBIE'S COSTUME CO.,1,888674,,,,,,,
19468,INFLATABLE SUMO,INFLATABLE SUMO,,MEN,SUMO,29.9925,39.99,0082686731225,COSTUMES,RUBIE'S COSTUME CO.,0,73122,,,,,,,
13038,INMATE,INMATE,,MEN,ADULT STAN,20.9925,27.99,0809801702706,COSTUMES,AMSCAN,0,840233,,,,,,,
22400,IRON MAN XL,IRON MAN XL,,MEN,XL,47.24,62.99,0883028046256,COSTUMES,RUBIE'S COSTUME CO.,2,810296,,,,,,,
22216,JACK SKELLINGTON ADULT,JACK SKELLINGTON ADULT,,MEN,STD,44.9925,59.99,0032692576198,COSTUMES,DISGUISE INC.,2,5761,,,,,,,
22227,JACK SPARROW ADULT,JACK SPARROW ADULT,,MEN,STD,67.4925,89.99,0032692503590,COSTUMES,DISGUISE INC.,0,5035D,,,,,,,
22228,JACK SPARROW XL,JACK SPARROW XL,,MEN,XL,41.2425,54.99,0032692510192,COSTUMES,DISGUISE INC.,2,5101,,,,,,,
18840,JACKET 50s GREASER MENS STD,JACKET 50s GREASER MENS STD,,MEN,JACKET,29.9925,39.99,0809801739634,COSTUMES,AMSCAN,0,843502,,,,,,,
20504,JAILBIRD ADULT,JAILBIRD ADULT,,MEN,STD,14.9925,19.99,0721773541056,COSTUMES,FORUM NOVELTIES INC,0,54105,,,,,,,
18911,JAILBIRD CON STND,JAILBIRD CON STND,,MEN,JAILBIRD CON,14.9925,19.99,0809801702645,COSTUMES,AMSCAN,0,840227,,,,,,,
20190,JASON JERSEY/MASK SM,JASON JERSEY/MASK SM,,MEN,SMALL,22.4925,29.99,0883028809455,COSTUMES,RUBIE'S COSTUME CO.,0,888094,,,,,,,
